name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kostanay Kazakhstan,2020-12-27,-7.4,-17,-12.5,-12.6,-26.1,-20.6,-14.4,85.4,0.2,100,4.17,snow,0,9.9,41.4,32.4,178.5,1035,87.1,12.1,25.3,2.2,1,,2020-12-27T10:00:14,2020-12-27T17:33:25,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-28,-8,-11,-9.5,-13.1,-21.5,-17.1,-11.5,85.7,0,0,0,snow,10.9,9.9,45.4,36,188.5,1027.4,87.5,9.5,19.9,1.7,1,,2020-12-28T10:00:21,2020-12-28T17:34:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-29,-7.7,-20,-12.7,-7.7,-27.5,-16.4,-14.6,85.6,3,100,4.17,snow,1.2,10.7,18.4,14.4,278,1029.6,82.4,11.5,28.9,2.6,2,,2020-12-29T10:00:25,2020-12-29T17:35:14,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-30,-15,-26,-20.9,-15.9,-31.1,-23.2,-23.3,81.2,0.3,100,4.17,snow,0,10.3,13.3,10.8,27,1036.8,48,10.4,36.4,3.3,2,,2020-12-30T10:00:25,2020-12-30T17:36:13,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-31,-14.7,-22,-17.8,-14.7,-28,-20.3,-20.1,82.2,0.8,100,4.17,snow,0,10.8,11.2,7.2,158,1038,84.3,10.1,29.4,2.6,2,,2020-12-31T10:00:21,2020-12-31T17:37:15,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2021-01-01,-16,-18,-17.2,-16.9,-25.1,-21.7,-20.1,78.2,0.2,100,4.17,snow,0,11.1,18,10.8,80.3,1042.3,81.6,10.6,29.1,2.4,2,,2021-01-01T10:00:14,2021-01-01T17:38:20,0.57,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2021-01-02,-14.9,-18,-16.4,-17.1,-23.9,-22.2,-19.6,76.4,0.3,100,4.17,snow,0,11.5,21.2,14.4,109.3,1046.3,93,13.5,28.8,2.5,2,,2021-01-02T10:00:03,2021-01-02T17:39:28,0.61,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2021-01-03,-14,-17.5,-15.7,-15.7,-27,-23.2,-18.9,76.5,0,0,0,snow,13,12.5,27.7,21.6,126.5,1048.6,94.4,12.4,25.4,2.3,1,,2021-01-03T09:59:48,2021-01-03T17:40:39,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2021-01-04,-17.9,-20,-18.8,-24.4,-28.6,-26.6,-22.5,72.5,0,0,0,,0,13,25.9,21.6,127.8,1048.6,97.2,13.3,28.6,2.3,1,,2021-01-04T09:59:30,2021-01-04T17:41:53,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2021-01-05,-18,-24.9,-21,-18,-30.4,-22.8,-24.7,72.4,0,0,0,,0,13,12.6,10.8,119.3,1047.4,68.7,13,26.9,2.4,1,,2021-01-05T09:59:08,2021-01-05T17:43:09,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
